107*Mathematics and Statistics*Brock University*70*Bachelor of Science, BSc*Niagara Region 1812 Sir Isaac Brock Way St. Catharines ON L2S 3A1*https://brocku.ca/programs/undergraduate/mathematics-and-statistics/*MHF4U|MCV4U|ENG4U|MHF4U|MCV4U
150*Mathematics and Statistics I*McMaster University*80*Bachelor of Science, BSc*1280 Main St. West Hamilton ON L8S 4L8*https://www.science.mcmaster.ca/*ENG4U|MHF4U|MCV4U
269*Math for Science & Industry*Ontario Tech University*70*Bachelor of Science, BSc*2000 Simcoe Street North Oshawa ON L1G 0C5*https://ontariotechu.ca/programs/undergraduate/science/mathematics-for-science-and-industry/index.php*ENG4U|MHF4U|MCV4U|SBI4U|SCH4U|SPH4U|MCV4U|SBI4U|SCH4U|SPH4U
372*Mathematics/CPA (Co-op Only)*University of Waterloo*80*Bachelor of Mathematics, BMath*200 University Ave. West Waterloo ON N2L 3G1*https://uwaterloo.ca/future-students/programs/mathematics-accounting?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac*MHF4U|MCV4U|ICS3U|BAT4M
374*Business Administration (Laurier) and Mathematics (Waterloo) Double Degree (Co-op Only)*University of Waterloo*90*Bachelor of Business Administration/Bachelor of Mathematics, BBA/BMath*200 University Ave. West Waterloo ON N2L 3G1*https://uwaterloo.ca/future-students/programs/business-administration-mathematics-double-degree?utm_source=einfo&utm_medium=clicks&utm_campaign=einfo-links*MHF4U|MCV4U|ICS3U
397*Mathematics (Regular/Co-op)*University of Waterloo*80*Bachelor of Mathematics, BMath*200 University Ave. West Waterloo ON N2L 3G1*https://uwaterloo.ca/future-students/programs/mathematics?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac*MHF4U|MCV4U|ICS3U
399*Mathematics/Business Administration (Regular/Co-op)*University of Waterloo*80*Bachelor of Mathematics, BMath*200 University Ave. West Waterloo ON N2L 3G1*https://uwaterloo.ca/future-students/programs/mathematics-business-administration?utm_source=mur-einfo&utm_medium=referral&utm_campaign=mur-ouac*MHF4U|MCV4U|ICS3U
435*Business Administration (BBA) + Mathematics (BMath), University of Waterloo*Wilfrid Laurier University*90*Bachelor of Business Administration/Bachelor of Mathematics, BBA/BMath*75 University Ave. West Waterloo ON N2L 3C5*https://wlu.ca/programs/business-and-economics/undergraduate/business-bba-and-mathematics-bmath-uw/index.html*ENG4U
440*Chemistry and Mathematics (BSc)*Wilfrid Laurier University*70*Bachelor of Science, BSc*75 University Ave. West Waterloo ON N2L 3C5*https://wlu.ca/programs/science/undergraduate/chemistry-bsc/index.html*ENG4U
452*Financial Mathematics (BA)*Wilfrid Laurier University*70*Bachelor of Arts, BA*75 University Ave. West Waterloo ON N2L 3C5*https://wlu.ca/programs/science/undergraduate/financial-mathematics-ba/index.html*ENG4U
454*Financial Mathematics (BSc)*Wilfrid Laurier University*70*Bachelor of Science, BSc*75 University Ave. West Waterloo ON N2L 3C5*https://wlu.ca/programs/science/undergraduate/financial-mathematics-bsc/index.html*ENG4U
